                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.72865,                0.48448,                0.85068,                0.96561,                0.97377,                0.98736,                0.83994,                0.67085,                0.46164,                0.84462,              0.0012522,              0.0012522,              0.0012522
                     37,                0.68757,                0.45784,                0.84669,                0.96561,                0.97377,                0.98736,                0.83994,                0.67085,                0.46164,                0.84462,              0.0012471,              0.0012471,              0.0012471
                     38,                0.70865,                0.47395,                0.85565,                0.95379,                0.96718,                0.97699,                0.82651,                0.66845,                0.49099,                0.84021,              0.0012421,              0.0012421,              0.0012421
                     39,                0.69148,                0.46513,                0.84862,                0.95707,                0.96755,                0.97729,                0.82206,                0.65837,                0.50322,                0.83468,               0.001237,               0.001237,               0.001237
                     40,                0.64741,                0.44818,                0.84808,                 0.9757,                0.97788,                 0.9869,                0.84444,                0.63208,                0.45501,                0.83661,               0.001232,               0.001232,               0.001232
                     41,                0.70348,                0.45769,                0.84513,                 0.9757,                0.97788,                 0.9869,                0.84444,                0.63208,                0.45501,                0.83661,              0.0012269,              0.0012269,              0.0012269
                     42,                0.61341,                0.41872,                0.83333,                0.98336,                 0.9862,                0.99288,                0.85118,                0.63621,                0.44096,                0.83609,              0.0012218,              0.0012218,              0.0012218
                     43,                0.61727,                0.42077,                0.84182,                0.98733,                0.98771,                0.99415,                0.85085,                0.62282,                0.41113,                0.83312,              0.0012168,              0.0012168,              0.0012168
                     44,                0.62699,                0.43025,                0.84246,                0.98794,                0.98686,                0.99419,                0.85578,                0.61825,                0.40442,                 0.8266,              0.0012117,              0.0012117,              0.0012117
                     45,                0.64218,                0.43963,                0.83241,                0.98794,                0.98686,                0.99419,                0.85578,                0.61825,                0.40442,                 0.8266,              0.0012067,              0.0012067,              0.0012067
                     46,                0.67531,                0.45197,                0.83808,                0.98156,                0.98339,                0.99211,                0.83541,                0.66432,                0.43746,                0.82803,              0.0012016,              0.0012016,              0.0012016
                     47,                 0.6089,                0.43327,                 0.8457,                0.98664,                0.98595,                0.99348,                0.86228,                0.60774,                0.41057,                0.82472,              0.0011966,              0.0011966,              0.0011966
                     48,                0.59406,                0.40707,                0.83448,                 0.9843,                0.99379,                0.99456,                0.86367,                0.58581,                0.38919,                0.82491,              0.0011915,              0.0011915,              0.0011915
                     49,                0.61005,                0.40849,                 0.8353,                 0.9843,                0.99379,                0.99456,                0.86367,                0.58581,                0.38919,                0.82491,              0.0011865,              0.0011865,              0.0011865
                     50,                0.61364,                0.40724,                 0.8339,                0.98923,                0.99243,                0.99454,                0.86612,                0.58999,                0.40523,                0.82133,              0.0011814,              0.0011814,              0.0011814
                     51,                0.58507,                0.41308,                0.83551,                0.97998,                0.98403,                0.98801,                0.86007,                0.58982,                0.44007,                0.81972,              0.0011764,              0.0011764,              0.0011764
                     52,                0.65797,                0.42766,                0.82633,                 0.9771,                0.98338,                0.98462,                0.84109,                0.63658,                0.48076,                0.82345,              0.0011713,              0.0011713,              0.0011713
                     53,                0.61588,                0.41722,                0.83532,                 0.9771,                0.98338,                0.98462,                0.84109,                0.63658,                0.48076,                0.82345,              0.0011663,              0.0011663,              0.0011663
                     54,                0.60044,                0.40872,                0.83391,                0.98657,                0.98789,                 0.9932,                0.85284,                0.63337,                0.42575,                0.82495,              0.0011612,              0.0011612,              0.0011612
                     55,                0.58803,                0.39341,                0.83319,                0.98768,                0.99292,                 0.9947,                0.87061,                0.57312,                0.37872,                0.82107,              0.0011562,              0.0011562,              0.0011562
                     56,                0.54845,                 0.3892,                0.83936,                0.99159,                0.99378,                0.99482,                0.86627,                0.59419,                0.38594,                0.82381,              0.0011511,              0.0011511,              0.0011511
                     57,                0.62464,                0.39823,                0.83378,                0.99159,                0.99378,                0.99482,                0.86627,                0.59419,                0.38594,                0.82381,              0.0011461,              0.0011461,              0.0011461
                     58,                0.65692,                0.41067,                0.83489,                0.99009,                0.98808,                0.99465,                0.85794,                0.59898,                 0.4151,                0.82377,               0.001141,               0.001141,               0.001141
                     59,                 0.6382,                0.42251,                0.83601,                0.98873,                0.98906,                0.99388,                0.85491,                0.61131,                0.40378,                0.82608,               0.001136,               0.001136,               0.001136
                     60,                0.62226,                0.40636,                0.83419,                0.98458,                0.99113,                0.99354,                0.86032,                0.61295,                0.39623,                 0.8222,              0.0011309,              0.0011309,              0.0011309
                     61,                0.62205,                0.41945,                0.83188,                0.98458,                0.99113,                0.99354,                0.86032,                0.61295,                0.39623,                 0.8222,              0.0011258,              0.0011258,              0.0011258
                     62,                0.59495,                0.41332,                0.82708,                0.98784,                0.98942,                0.99415,                0.85355,                0.63295,                0.40122,                0.82186,              0.0011208,              0.0011208,              0.0011208
                     63,                0.56737,                0.39551,                0.82667,                 0.9908,                0.98741,                0.99469,                0.87346,                0.57267,                0.38256,                0.81702,              0.0011157,              0.0011157,              0.0011157
                     64,                0.55083,                0.38633,                0.82145,                0.99376,                0.98666,                0.99452,                0.87914,                0.55796,                0.37773,                0.81668,              0.0011107,              0.0011107,              0.0011107
                     65,                0.58683,                0.37629,                0.81815,                0.99376,                0.98666,                0.99452,                0.87914,                0.55796,                0.37773,                0.81668,              0.0011056,              0.0011056,              0.0011056
                     66,                0.54907,                0.36188,                0.82235,                0.99526,                0.98526,                0.99387,                0.87335,                 0.5655,                0.39866,                0.81691,              0.0011006,              0.0011006,              0.0011006
                     67,                0.57948,                0.39611,                 0.8223,                0.99503,                0.98719,                0.99422,                 0.8817,                 0.5449,                0.38211,                0.81635,              0.0010955,              0.0010955,              0.0010955
                     68,                0.56657,                0.38358,                  0.825,                0.99004,                0.99104,                0.99441,                0.88148,                0.54822,                0.36905,                0.81455,              0.0010905,              0.0010905,              0.0010905
                     69,                0.53945,                0.36758,                0.81398,                0.99004,                0.99104,                0.99441,                0.88148,                0.54822,                0.36905,                0.81455,              0.0010854,              0.0010854,              0.0010854
                     70,                0.57142,                0.39289,                0.83263,                0.99163,                0.98649,                0.99443,                0.87088,                0.58189,                0.39281,                0.81663,              0.0010804,              0.0010804,              0.0010804
                     71,                0.59789,                0.38391,                0.82848,                  0.991,                0.99117,                0.99452,                0.88084,                0.56217,                0.39285,                0.81558,              0.0010753,              0.0010753,              0.0010753
                     72,                0.57294,                0.38537,                 0.8258,                0.99315,                 0.9913,                0.99467,                0.88243,                0.55133,                0.36263,                0.81545,              0.0010703,              0.0010703,              0.0010703
                     73,                0.59327,                0.37768,                0.82547,                0.99315,                 0.9913,                0.99467,                0.88243,                0.55133,                0.36263,                0.81545,              0.0010652,              0.0010652,              0.0010652
                     74,                0.55113,                0.38698,                0.82887,                0.99108,                0.99131,                0.99463,                0.88037,                0.54723,                0.36483,                0.81499,              0.0010602,              0.0010602,              0.0010602
                     75,                0.56542,                0.39331,                0.82572,                0.99266,                0.99201,                0.99471,                0.88522,                0.54581,                0.35501,                0.81572,              0.0010551,              0.0010551,              0.0010551
                     76,                0.57631,                0.37799,                0.82895,                0.99728,                0.98574,                 0.9948,                0.89276,                0.52758,                0.36741,                0.81197,              0.0010501,              0.0010501,              0.0010501
                     77,                0.54447,                0.37428,                0.81372,                0.99728,                0.98574,                 0.9948,                0.89276,                0.52758,                0.36741,                0.81197,               0.001045,               0.001045,               0.001045
                     78,                0.57096,                0.39202,                0.82122,                0.99638,                0.98553,                0.99479,                0.88882,                0.54166,                0.38376,                0.81579,                0.00104,                0.00104,                0.00104
                     79,                0.54078,                0.36777,                0.82654,                0.99341,                  0.986,                0.99475,                 0.8892,                0.53815,                0.36465,                0.81504,              0.0010349,              0.0010349,              0.0010349
                     80,                0.56309,                0.37241,                0.82166,                0.99226,                0.98729,                0.99469,                0.87266,                0.56337,                0.36293,                0.81657,              0.0010298,              0.0010298,              0.0010298
                     81,                0.54957,                0.37152,                0.81749,                0.99226,                0.98729,                0.99469,                0.87266,                0.56337,                0.36293,                0.81657,              0.0010248,              0.0010248,              0.0010248
                     82,                0.56063,                0.38137,                0.81745,                0.99471,                0.98635,                0.99479,                0.87955,                0.55538,                0.36144,                0.81648,              0.0010197,              0.0010197,              0.0010197
                     83,                0.57133,                0.38649,                0.81732,                 0.9949,                 0.9904,                0.99487,                0.89366,                0.52831,                0.35364,                0.81411,              0.0010147,              0.0010147,              0.0010147
                     84,                0.51625,                 0.3596,                 0.8282,                0.99674,                0.99094,                0.99489,                0.89524,                0.53222,                0.35879,                0.81384,              0.0010096,              0.0010096,              0.0010096
                     85,                0.60076,                0.36938,                0.81538,                0.99674,                0.99094,                0.99489,                0.89524,                0.53222,                0.35879,                0.81384,              0.0010046,              0.0010046,              0.0010046
                     86,                0.56065,                0.36422,                0.82438,                0.99406,                0.99436,                0.99489,                0.88689,                0.55339,                0.36789,                0.81811,             0.00099953,             0.00099953,             0.00099953
                     87,                0.56195,                0.37174,                0.82491,                 0.9957,                0.99217,                0.99487,                0.88137,                0.55484,                0.36983,                0.81719,             0.00099448,             0.00099448,             0.00099448
                     88,                0.57242,                0.37235,                0.81846,                0.99298,                0.99466,                0.99483,                0.89611,                0.51729,                0.34853,                0.80899,             0.00098943,             0.00098943,             0.00098943
                     89,                0.54545,                0.36065,                0.81669,                0.99298,                0.99466,                0.99483,                0.89611,                0.51729,                0.34853,                0.80899,             0.00098438,             0.00098438,             0.00098438
                     90,                0.53814,                0.35461,                0.81388,                0.99542,                0.99321,                0.99481,                0.89762,                0.52731,                0.34524,                0.81177,             0.00097932,             0.00097932,             0.00097932
                     91,                0.52811,                0.35206,                0.82316,                 0.9969,                0.99424,                0.99481,                0.89271,                0.54111,                 0.3487,                0.81418,             0.00097427,             0.00097427,             0.00097427
                     92,                0.54241,                0.35833,                0.82005,                0.99489,                0.99594,                 0.9948,                0.89684,                0.52838,                0.34181,                0.81056,             0.00096922,             0.00096922,             0.00096922
